,|Q|[Ah](charge),Voltage[V](charge),Capacity[mAh/g](charge),|Q|[Ah](discharge),Voltage[V](discharge),Capacity[mAh/g](discharge)
125,7.073841e-05,3.5988,20.5754537521815,7.220624e-05,4.19462,21.002396742292028
126,7.131139e-05,3.59941,20.742114601512505,7.277931e-05,4.19401,21.169083769633506
127,7.188437e-05,3.59971,20.908775450843514,7.335237e-05,4.1937,21.335767888307153
128,7.245735e-05,3.60017,21.07543630017452,7.392544e-05,4.19355,21.50245491564863
129,7.303033e-05,3.60033,21.24209714950553,7.44985e-05,4.19309,21.669139034322278
130,7.360331e-05,3.60063,21.408757998836535,7.507156e-05,4.19309,21.83582315299593
131,7.417629e-05,3.60078,21.575418848167537,7.564463e-05,4.19279,22.002510180337406
132,7.474927e-05,3.60124,21.742079697498546,7.621769e-05,4.19248,22.169194299011053
133,7.532225e-05,3.60155,21.90874054682955,7.679076e-05,4.19202,22.33588132635253
134,7.589523e-05,3.60185,22.075401396160558,7.736383e-05,4.19172,22.50256835369401
135,7.646821e-05,3.60231,22.242062245491564,7.793689e-05,4.19141,22.669252472367656
136,7.704119e-05,3.60262,22.40872309482257,7.850995e-05,4.19126,22.835936591041303
137,7.761417e-05,3.60308,22.575383944153575,7.908302e-05,4.19095,23.00262361838278
138,7.818715e-05,3.60338,22.742044793484585,7.965608e-05,4.19065,23.169307737056428
139,7.876013e-05,3.60354,22.908705642815587,8.022915e-05,4.19019,23.335994764397906
140,7.93331e-05,3.6043,23.075363583478765,8.080222e-05,4.19003,23.502681791739384
141,7.990608e-05,3.6043,23.242024432809767,8.137528e-05,4.18973,23.66936591041303
142,8.047906e-05,3.60461,23.40868528214078,8.194835e-05,4.18927,23.83605293775451
143,8.105204e-05,3.60507,23.575346131471786,8.252142e-05,4.18912,24.002739965095984
144,8.162502e-05,3.60537,23.74200698080279,8.309448e-05,4.18881,24.16942408376963
145,8.219801e-05,3.60583,23.908670738801625,8.366755e-05,4.18866,24.33611111111111
146,8.277099e-05,3.60614,24.075331588132634,8.424061e-05,4.18835,24.502795229784756
147,8.334396e-05,3.60644,24.241989528795813,8.481368e-05,4.18805,24.669482257126234
148,8.391694e-05,3.60675,24.408650378126815,8.538674e-05,4.18759,24.836166375799884
149,8.448992e-05,3.60721,24.575311227457824,8.59598e-05,4.18728,25.00285049447353
150,8.50629e-05,3.60766,24.74197207678883,8.653286e-05,4.18713,25.169534613147178
151,8.563588e-05,3.60782,24.908632926119836,8.710593e-05,4.18667,25.336221640488656
152,8.620886e-05,3.60828,25.07529377545084,8.767899e-05,4.18637,25.502905759162303
153,8.678184e-05,3.60858,25.24195462478185,8.825206e-05,4.18621,25.66959278650378
154,8.735482e-05,3.60904,25.408615474112853,8.882512e-05,4.1856,25.836276905177428
155,8.79278e-05,3.60935,25.575276323443862,8.939819e-05,4.1856,26.002963932518906
156,8.850078e-05,3.60996,25.741937172774865,8.997125e-05,4.18514,26.169648051192553
157,8.907376e-05,3.61042,25.908598022105878,9.054432e-05,4.18484,26.33633507853403
158,8.964674e-05,3.61072,26.07525887143688,9.111739e-05,4.18468,26.50302210587551
159,9.021972e-05,3.61088,26.241919720767886,9.169045e-05,4.18422,26.669706224549156
160,9.07927e-05,3.61133,26.40858057009889,9.226352e-05,4.18377,26.836393251890634
161,9.136569e-05,3.61164,26.57524432809773,9.283659e-05,4.18361,27.003080279232112
162,9.193867e-05,3.61225,26.741905177428738,9.340965e-05,4.183,27.16976439790576
163,9.251165e-05,3.61256,26.908566026759743,9.398272e-05,4.18285,27.336451425247237
164,9.308463e-05,3.61271,27.075226876090746,9.455578e-05,4.18239,27.503135543920884
165,9.365761e-05,3.61317,27.24188772542176,9.512885e-05,4.18224,27.669822571262362
166,9.423059e-05,3.61363,27.40854857475276,9.570191e-05,4.18178,27.83650668993601
167,9.480357e-05,3.61378,27.57520942408377,9.627498e-05,4.18147,28.003193717277487
